corr,nresp,downsample
0.7474247654989236,91.59,1.0
0.7335680648448181,87.485,0.9689655172413794
0.7276564586523546,85.022,0.9379310344827586
0.7217517457045399,82.107,0.906896551724138
0.7155210532160942,79.265,0.8758620689655172
0.709397575765878,76.396,0.8448275862068966
0.697957115234283,73.468,0.8137931034482759
0.685651046885108,70.723,0.7827586206896552
0.6829835207078165,67.932,0.7517241379310344
0.6736394081976128,64.952,0.7206896551724138
0.6660167234149796,62.161,0.6896551724137931
0.6566641982228805,59.475,0.6586206896551724
0.6387419870070594,56.433,0.6275862068965518
0.6224277815972016,53.656,0.596551724137931
0.6168885415604725,50.798,0.5655172413793104
0.5942913743810153,47.881,0.5344827586206897
0.5751397622522838,45.299,0.503448275862069
0.5513467392020522,42.19,0.47241379310344833
0.5289592454823658,39.394,0.4413793103448276
0.510825252997919,36.658,0.41034482758620694
0.49020031927192953,33.783,0.3793103448275862
0.4735879698442471,30.832,0.34827586206896555
0.4356815438716493,28.13,0.3172413793103448
0.4016437399001169,25.302,0.28620689655172415
0.3836219850017152,22.254,0.2551724137931035
0.36804907076614074,19.479,0.22413793103448276
0.32401782390473155,16.65,0.19310344827586212
0.2790568728074074,13.774,0.16206896551724137
0.22148297952415602,10.991,0.13103448275862073
0.1423972382804595,8.333,0.1
0.7465793092068045,91.59,1.0
0.730667485657052,87.532,0.9689655172413794
0.7225334864296703,84.777,0.9379310344827586
0.7177126365397493,82.042,0.906896551724138
0.7147780760986479,79.257,0.8758620689655172
0.7048186625783244,76.417,0.8448275862068966
0.6966383629278293,73.557,0.8137931034482759
0.6781529308169579,70.697,0.7827586206896552
0.6724632740326303,67.929,0.7517241379310344
0.661784572526109,65.031,0.7206896551724138
0.6425766947076474,62.211,0.6896551724137931
0.6293202737863526,59.404,0.6586206896551724
0.6096082728502571,56.477,0.6275862068965518
0.6052702511184007,53.685,0.596551724137931
0.5971447537915746,50.797,0.5655172413793104
0.5902573831800599,48.01,0.5344827586206897
0.5812730186176263,45.284,0.503448275862069
0.569434260944995,42.4,0.47241379310344833
0.5539333299958629,39.487,0.4413793103448276
0.5331405894749546,36.621,0.41034482758620694
0.5244041637657697,33.779,0.3793103448275862
0.501710328459544,30.876,0.34827586206896555
0.49714688530318696,28.097,0.3172413793103448
0.4738413743418448,25.339,0.28620689655172415
0.4185867177259453,22.293,0.2551724137931035
0.39654791757881686,19.514,0.22413793103448276
0.34266382198200845,16.631,0.19310344827586212
0.2990176752365296,13.797,0.16206896551724137
0.27047840213340313,10.999,0.13103448275862073
0.2020222536340461,8.232,0.1
0.7196335800699828,91.59,1.0
0.7059593571715759,87.331,0.9689655172413794
0.6952400893989354,84.903,0.9379310344827586
0.6917668436150718,82.019,0.906896551724138
0.6816105465610065,79.227,0.8758620689655172
0.672329574305444,76.39,0.8448275862068966
0.6632302692906196,73.501,0.8137931034482759
0.6606366997971331,70.717,0.7827586206896552
0.6531617870886453,67.93,0.7517241379310344
0.6483752064527275,64.978,0.7206896551724138
