corr,nresp
0.15685180317232278,8.238660287081343
0.20666720552615478,10.956746411483255
0.24246379277876343,13.75272727272727
0.28444274180606616,16.60918660287081
0.3085176895380439,19.48248803827751
0.33319177158184415,22.21645933014354
0.35750564873563534,25.257607655502383
0.38797182688652,28.08746411483254
0.4126377434341603,30.815693779904308
0.438496189830779,33.71961722488039
0.459881875073239,36.56363636363637
0.4704702448923921,39.36746411483253
0.4906332711016027,42.21588516746411
0.5106097988397189,45.21952153110046
0.5203738830084091,47.86181818181819
0.5328616560741999,50.73244019138757
0.5441510209175174,53.58124401913876
0.5535406101766945,56.32899521531099
0.5693495123194908,59.36325358851675
0.5813307447901106,62.08535885167465
0.5929416899853073,64.87483253588519
0.6074293159522682,67.82220095693778
0.6167904167331671,70.58985645933015
0.6280950490581085,73.37990430622007
0.633000458687444,76.27693779904304
0.6399340059386798,79.14028708133972
0.6498133883327607,81.90641148325359
0.6558775153004619,84.76535885167463
0.6630921510138462,87.25626794258373
0.67533860719263,91.44497607655506
