image_file,category,subcategory,H,FA,n_resp,memoir_mem_score_yfa,memoir_mem_score_nfa,mean_response_time
n09288635_1801.jpg,landscape,geyser,54,14,68,0.588235294117647,0.794117647058823,674.212121212121
n09288635_1990.jpg,landscape,geyser,45,11,86,0.395348837209302,0.523255813953488,710.928571428572
n09288635_23563.jpg,landscape,geyser,42,13,75,0.386666666666667,0.56,685.528301886792
n09288635_25124.jpg,landscape,geyser,50,16,77,0.441558441558442,0.649350649350649,680.783333333333
n09288635_3879.jpg,landscape,geyser,50,10,72,0.555555555555556,0.694444444444444,731.232142857143
n09289331_1102.jpg,landscape,icescape,99,20,147,0.537414965986395,0.673469387755102,641.171171171171
n09289331_5012.jpg,landscape,icescape,50,15,74,0.472972972972973,0.675675675675676,590.967213114754
n09289331_6878.jpg,landscape,icescape,40,9,87,0.35632183908046,0.459770114942529,705.68085106383
n09303008_22139.jpg,landscape,mountain,73,9,86,0.744186046511628,0.848837209302326,633.379746835443
n09303008_920.jpg,landscape,mountain,46,17,76,0.381578947368421,0.605263157894737,686.491803278689
n09308572_1522.jpg,landscape,icescape,124,22,151,0.675496688741722,0.821192052980132,655.716312056738
n09308572_1766.jpg,landscape,icescape,57,5,85,0.611764705882353,0.670588235294118,726.035714285714
n09308572_1832.jpg,landscape,icescape,47,12,75,0.466666666666667,0.626666666666667,700.363636363636
n09308572_2910.jpg,landscape,icescape,67,29,87,0.436781609195402,0.770114942528736,690.846153846154
n09308572_4185.jpg,landscape,icescape,73,18,84,0.654761904761905,0.869047619047619,607.720930232558
n09308572_4562.jpg,landscape,icescape,62,11,76,0.671052631578947,0.81578947368421,640.085714285714
n09308572_627.jpg,landscape,icescape,73,12,87,0.701149425287356,0.839080459770115,688.58024691358
n09359803_20911.jpg,landscape,mountain,53,12,87,0.471264367816092,0.609195402298851,641.984126984127
n09359803_26838.jpg,landscape,mountain,36,10,70,0.371428571428571,0.514285714285714,635.441860465116
n09359803_27560.jpg,landscape,mountain,85,13,149,0.483221476510067,0.570469798657718,696.742268041237
n09359803_29193.jpg,landscape,mountain,40,11,69,0.420289855072464,0.579710144927536,657.888888888889
n09359803_29305.jpg,landscape,mountain,43,8,70,0.5,0.614285714285714,580.291666666667
n09359803_36040.jpg,landscape,mountain,72,12,93,0.645161290322581,0.774193548387097,629.576923076923
n09359803_41173.jpg,landscape,mountain,93,20,157,0.464968152866242,0.592356687898089,683.823529411765
n09376198_10146.jpg,landscape,sea,45,2,88,0.488636363636364,0.511363636363636,617.525
n09376198_15467.jpg,landscape,sea,50,9,63,0.650793650793651,0.793650793650794,610.277777777778
n09376198_15858.jpg,landscape,sea,98,38,155,0.387096774193548,0.632258064516129,619.708661417323
n09376198_19558.jpg,landscape,sea,39,4,71,0.492957746478873,0.549295774647887,716.093023255814
n09376198_21192.jpg,landscape,sea,47,14,69,0.478260869565217,0.681159420289855,612.618181818182
n09376198_34637.jpg,landscape,sea,54,10,76,0.578947368421053,0.710526315789474,654.033898305085
n09376198_5120.jpg,landscape,sea,51,10,87,0.471264367816092,0.586206896551724,650.017857142857
n09376198_6163.jpg,landscape,sea,105,26,157,0.503184713375796,0.668789808917197,670.920634920635
n09376198_9918.jpg,landscape,sea,57,4,71,0.746478873239437,0.802816901408451,585.344827586207
n09393605_29445.jpg,landscape,field,49,17,89,0.359550561797753,0.550561797752809,618.15
n09393605_44117.jpg,landscape,field,52,13,74,0.527027027027027,0.702702702702703,637.245901639344
n09393605_56109.jpg,landscape,field,37,10,69,0.391304347826087,0.536231884057971,697.255813953488
n09393605_61186.jpg,landscape,field,51,12,83,0.469879518072289,0.614457831325301,679.098360655738
n09393605_61672.jpg,landscape,field,55,4,79,0.645569620253165,0.69620253164557,658.090909090909
n09393605_64280.jpg,landscape,field,114,18,160,0.6,0.7125,633.120967741936
n09393605_64769.jpg,landscape,field,62,6,84,0.666666666666667,0.738095238095238,666.984615384615
n09393605_67985.jpg,landscape,field,45,11,85,0.4,0.529411764705882,598.867924528302
n09393605_8966.jpg,landscape,field,58,9,70,0.7,0.828571428571429,663.046875
n09415671_11456.jpg,landscape,river,41,12,74,0.391891891891892,0.554054054054054,729.833333333333
n09415671_13467.jpg,landscape,river,84,34,156,0.320512820512821,0.538461538461538,642.298245614035
n09415671_14688.jpg,landscape,river,56,9,77,0.61038961038961,0.727272727272727,668.135593220339
n09415671_15736.jpg,landscape,river,52,12,72,0.555555555555556,0.722222222222222,657.016393442623
n09415671_16184.jpg,landscape,river,47,4,74,0.581081081081081,0.635135135135135,655.574468085106
n09415671_9545.jpg,landscape,river,90,24,147,0.448979591836735,0.612244897959184,643.859813084112
n09421951_11637.jpg,landscape,shore,41,4,74,0.5,0.554054054054054,686.404761904762
n09421951_8175.jpg,landscape,shore,50,24,70,0.371428571428571,0.714285714285714,604.69014084507
n09428293_3364.jpg,landscape,shore,46,8,72,0.527777777777778,0.638888888888889,614.769230769231
n09428293_5897.jpg,landscape,shore,43,17,69,0.376811594202899,0.623188405797101,708.883333333333
n09468604_15562.jpg,landscape,valley,106,17,153,0.581699346405229,0.69281045751634,658.683333333333
n09468604_15592.jpg,landscape,valley,73,22,159,0.320754716981132,0.459119496855346,692.3
n09468604_2749.jpg,landscape,valley,60,22,83,0.457831325301205,0.72289156626506,606.621621621622
n09468604_37892.jpg,landscape,valley,46,10,77,0.467532467532467,0.597402597402597,616.098039215686
n09468604_40956.jpg,landscape,valley,56,16,69,0.579710144927536,0.811594202898551,664.757575757576
n09468604_46566.jpg,landscape,valley,54,29,75,0.333333333333333,0.72,674.168831168831
n09468604_54577.jpg,landscape,valley,59,20,74,0.527027027027027,0.797297297297297,669.71052631579
n09468604_56818.jpg,landscape,valley,42,3,67,0.582089552238806,0.626865671641791,686.441860465116
n09468604_57366.jpg,landscape,valley,64,8,77,0.727272727272727,0.831168831168831,676.926470588235
n09468604_89593.jpg,landscape,valley,66,10,92,0.608695652173913,0.717391304347826,667.529411764706
n09472597_1402.jpg,landscape,volcano,50,15,76,0.460526315789474,0.657894736842105,669.380952380952
n09472597_15575.jpg,landscape,volcano,44,9,84,0.416666666666667,0.523809523809524,666.30612244898
n09472597_19101.jpg,landscape,volcano,46,7,70,0.557142857142857,0.657142857142857,696.058823529412
n09472597_22784.jpg,landscape,volcano,37,9,74,0.378378378378378,0.5,659.204545454546
n09472597_31092.jpg,landscape,volcano,145,21,161,0.770186335403727,0.900621118012422,688.59748427673
n09472597_32918.jpg,landscape,volcano,55,11,76,0.578947368421053,0.723684210526316,673.515625
n09472597_4395.jpg,landscape,volcano,101,22,161,0.490683229813665,0.627329192546584,626.55652173913
n09472597_4882.jpg,landscape,volcano,60,4,81,0.691358024691358,0.740740740740741,699.21875
n12345899_12760.jpg,landscape,mangrove,66,17,75,0.653333333333333,0.88,622.831168831169
n12345899_15016.jpg,landscape,mangrove,60,17,70,0.614285714285714,0.857142857142857,624.718309859155
n12345899_15631.jpg,landscape,mangrove,55,15,87,0.459770114942529,0.632183908045977,707.878787878788
n12345899_16717.jpg,landscape,mangrove,55,14,70,0.585714285714286,0.785714285714286,634.045454545455
n12345899_18668.jpg,landscape,mangrove,64,9,89,0.617977528089888,0.719101123595506,636.63768115942
n12345899_20133.jpg,landscape,mangrove,62,6,87,0.64367816091954,0.71264367816092,641.85
n12345899_5004.jpg,landscape,mangrove,42,6,71,0.507042253521127,0.591549295774648,633.673913043478
n12345899_6119.jpg,landscape,mangrove,60,15,75,0.6,0.8,650.114285714286
n12345899_6568.jpg,landscape,mangrove,45,17,75,0.373333333333333,0.6,611.689655172414
n12345899_9738.jpg,landscape,mangrove,46,8,74,0.513513513513513,0.621621621621622,660.038461538462
sun_aajijsiddvaqjsct.jpg,landscape,waterfall,51,16,83,0.421686746987952,0.614457831325301,667.584615384615
sun_aanfjwabnufovale.jpg,landscape,creek,65,15,86,0.581395348837209,0.755813953488372,617.306666666667
sun_abdqfmnccfyuqsjh.jpg,landscape,snowscape,37,9,69,0.405797101449275,0.536231884057971,670.318181818182
sun_advruofhmqeyqmbx.jpg,landscape,river,103,39,155,0.412903225806452,0.664516129032258,655.088888888889
sun_aggfowjpvviyezvb.jpg,landscape,waterfall,82,18,150,0.426666666666667,0.546666666666667,633.691489361702
sun_akriyetrhoopjsdy.jpg,landscape,badlands,93,21,156,0.461538461538462,0.596153846153846,634.222222222222
sun_alynwiithdespexf.jpg,landscape,snowscape,39,11,82,0.341463414634146,0.475609756097561,681.851063829787
sun_amevzodkyjpljcde.jpg,landscape,waterfall,59,18,71,0.577464788732394,0.830985915492958,633.347222222222
sun_amhftfdjiroweslq.jpg,landscape,field,63,3,87,0.689655172413793,0.724137931034483,669.587301587302
sun_aprctqsrjhrpevzy.jpg,landscape,creek,51,6,74,0.608108108108108,0.689189189189189,675.358490566038
sun_aqtstmhxxgspchdn.jpg,landscape,desert,38,6,72,0.444444444444444,0.527777777777778,668.775
sun_atujmqovmioxulez.jpg,landscape,desert,63,14,76,0.644736842105263,0.828947368421053,665.851351351351
sun_auhihtbsylsxsylt.jpg,landscape,lake,34,13,76,0.276315789473684,0.447368421052632,649.409090909091
sun_auibkfkgntzgyhsd.jpg,landscape,waterfall,59,16,85,0.505882352941176,0.694117647058823,649.151515151515
sun_avawcmcabmaoywsj.jpg,landscape,desert,47,14,75,0.44,0.626666666666667,619.745454545455
sun_azqthtbatlkavgcu.jpg,landscape,lake,27,11,65,0.246153846153846,0.415384615384615,673
sun_beyqkdhbapysbwbv.jpg,landscape,badlands,50,8,84,0.5,0.595238095238095,711.535714285714
sun_bkkyikcgcicqwrqk.jpg,landscape,waterfall,51,19,73,0.438356164383562,0.698630136986301,664.516666666667
sun_bljyguxxfiakvvcz.jpg,landscape,badlands,50,21,82,0.353658536585366,0.609756097560976,610.617647058824
sun_bngquulvvnytlqxq.jpg,landscape,waterfall,63,28,77,0.454545454545455,0.818181818181818,599.333333333333
sun_bqgrxjafdmczsueo.jpg,landscape,waterfall,45,20,65,0.384615384615385,0.692307692307692,675.672413793104
sun_bsncxbgeurpzwnse.jpg,landscape,waterfall,64,8,81,0.691358024691358,0.790123456790123,646.405797101449
sun_bwxnzldrpyvierjp.jpg,landscape,waterfall,68,21,83,0.566265060240964,0.819277108433735,647.609195402299
