corr,nresp,downsample
0.6934568008795123,91.59,1.0
0.6769921744693396,87.485,0.9689655172413794
0.667879356625427,85.022,0.9379310344827586
0.66462806768687,82.107,0.906896551724138
0.6576264089011365,79.265,0.8758620689655172
0.649224763780681,76.396,0.8448275862068966
0.6362774724595929,73.468,0.8137931034482759
0.6185232163891256,70.723,0.7827586206896552
0.6161057089670668,67.932,0.7517241379310344
0.599854296926232,64.952,0.7206896551724138
0.5867742507982976,62.161,0.6896551724137931
0.5747848066374602,59.475,0.6586206896551724
0.5714396991098967,56.433,0.6275862068965518
0.5575082262278197,53.656,0.596551724137931
0.5543501260301203,50.798,0.5655172413793104
0.5367523719804579,47.881,0.5344827586206897
0.5171902408239083,45.299,0.503448275862069
0.4987563811150656,42.19,0.47241379310344833
0.4782655348845072,39.394,0.4413793103448276
0.4529723504625047,36.658,0.41034482758620694
0.4235414494181046,33.783,0.3793103448275862
0.41109625487538654,30.832,0.34827586206896555
0.38287134301625964,28.13,0.3172413793103448
0.36017259549105257,25.302,0.28620689655172415
0.3290742523600878,22.254,0.2551724137931035
0.31154040032343105,19.479,0.22413793103448276
0.27573305817260646,16.65,0.19310344827586212
0.247267834002366,13.774,0.16206896551724137
0.2004344396299983,10.991,0.13103448275862073
0.1298923833897216,8.333,0.1
0.688222011341989,91.59,1.0
0.6724579658236336,87.532,0.9689655172413794
0.6622560640665942,84.777,0.9379310344827586
0.6602026600688988,82.042,0.906896551724138
0.6588110929455244,79.257,0.8758620689655172
0.6487356816733578,76.417,0.8448275862068966
0.6471155888837261,73.557,0.8137931034482759
0.6264342363679433,70.697,0.7827586206896552
0.6139230503925496,67.929,0.7517241379310344
0.6026405591460099,65.031,0.7206896551724138
0.5889414491920235,62.211,0.6896551724137931
0.5707237426485063,59.404,0.6586206896551724
0.5572171296459049,56.477,0.6275862068965518
0.5541112915316939,53.685,0.596551724137931
0.5385055885479823,50.797,0.5655172413793104
0.5300756862432188,48.01,0.5344827586206897
0.5039775739929826,45.284,0.503448275862069
0.4982555037264162,42.4,0.47241379310344833
0.48659109867480144,39.487,0.4413793103448276
0.4628032359115531,36.621,0.41034482758620694
0.45518676813457504,33.779,0.3793103448275862
0.4368455690995978,30.876,0.34827586206896555
0.43059712954428825,28.097,0.3172413793103448
0.40693860325831627,25.339,0.28620689655172415
0.3636070288796119,22.293,0.2551724137931035
0.32818724055601783,19.514,0.22413793103448276
0.27327663447524747,16.631,0.19310344827586212
0.24698202831796498,13.797,0.16206896551724137
0.22940567473408163,10.999,0.13103448275862073
0.1708077449425762,8.232,0.1
0.6789877677708455,91.59,1.0
0.6720401725044454,87.331,0.9689655172413794
0.6586988567410618,84.903,0.9379310344827586
0.6507105971125087,82.019,0.906896551724138
0.6413861350485993,79.227,0.8758620689655172
0.6308774795085202,76.39,0.8448275862068966
0.6245428331551872,73.501,0.8137931034482759
0.6130278611425553,70.717,0.7827586206896552
0.6067653768180103,67.93,0.7517241379310344
0.5910884295218812,64.978,0.7206896551724138
0.5844190662778235,62.137,0.6896551724137931
0.588422202235635,59.457,0.6586206896551724
0.5747967606451936,56.421,0.6275862068965518
0.5634913081839308,53.686,0.596551724137931
0.555326286542637,50.824,0.5655172413793104
0.5402280365852722,47.921,0.5344827586206897
0.5238682764698026,45.274,0.503448275862069
0.5142684388626227,42.27,0.47241379310344833
0.49678112595644214,39.444,0.4413793103448276
0.4842358008130102,36.651,0.41034482758620694
0.4729684231061259,33.762,0.3793103448275862
0.4529724060248863,30.831,0.34827586206896555
0.42349940427678223,28.115,0.3172413793103448
0.4067513278582508,25.313,0.28620689655172415
0.39517007048390174,22.234,0.2551724137931035
0.35487584574123937,19.501,0.22413793103448276
0.308804457192658,16.642,0.19310344827586212
0.2908091535809669,13.758,0.16206896551724137
0.2202782035654203,10.982,0.13103448275862073
0.17838925701556368,8.277,0.1
0.6949566462548988,91.59,1.0
0.6904843716331264,87.366,0.9689655172413794
0.6810382901748352,84.915,0.9379310344827586
0.6715173043074941,82.058,0.906896551724138
0.6686025569099363,79.241,0.8758620689655172
0.6588752096144703,76.391,0.8448275862068966
0.6469123958693231,73.51,0.8137931034482759
0.6433596690944549,70.721,0.7827586206896552
0.6333913042008487,67.934,0.7517241379310344
0.6271560074037216,64.968,0.7206896551724138
0.6162005195168867,62.155,0.6896551724137931
0.5992358995398963,59.455,0.6586206896551724
0.5780688030176145,56.432,0.6275862068965518
0.5552293247910158,53.696,0.596551724137931
0.5431183102584148,50.829,0.5655172413793104
0.5291007548682385,47.928,0.5344827586206897
0.518067164199756,45.285,0.503448275862069
0.4976588874179644,42.284,0.47241379310344833
0.47052186533970203,39.429,0.4413793103448276
0.4616848393103184,36.646,0.41034482758620694
0.43420826313347366,33.77,0.3793103448275862
0.40875811609507484,30.86,0.34827586206896555
0.3723363959631479,28.137,0.3172413793103448
0.3441541989002797,25.307,0.28620689655172415
0.3575318979821041,22.261,0.2551724137931035
0.3359479523985204,19.542,0.22413793103448276
0.3136773229710232,16.64,0.19310344827586212
0.2844571994575373,13.753,0.16206896551724137
0.2505074866814115,10.972,0.13103448275862073
0.16255423655335238,8.281,0.1
0.7060380398250413,91.59,1.0
0.7011807122507974,87.356,0.9689655172413794
0.6908450593554809,84.919,0.9379310344827586
0.6884725741992167,82.038,0.906896551724138
0.6790092652681438,79.28,0.8758620689655172
0.6697384630333153,76.389,0.8448275862068966
0.6627889022287697,73.486,0.8137931034482759
0.6411765230559148,70.725,0.7827586206896552
0.6316161820914351,67.942,0.7517241379310344
0.6188922256954359,64.971,0.7206896551724138
0.6109993175422406,62.176,0.6896551724137931
0.5984660388187698,59.481,0.6586206896551724
0.5793364994964185,56.408,0.6275862068965518
0.5690015691586535,53.657,0.596551724137931
0.553198074470781,50.84,0.5655172413793104
0.5428320807998861,47.938,0.5344827586206897
0.5248580216842632,45.288,0.503448275862069
0.4985459292519743,42.292,0.47241379310344833
0.49220621155935157,39.409,0.4413793103448276
0.4715992492684303,36.634,0.41034482758620694
0.4576808950982585,33.777,0.3793103448275862
0.43279658012968747,30.859,0.34827586206896555
0.4087091886678431,28.151,0.3172413793103448
0.3725387222965059,25.323,0.28620689655172415
0.3433303629584868,22.226,0.2551724137931035
0.3030859310176947,19.504,0.22413793103448276
