corr,nresp
0.1596598906127758,8.25856
0.2112861922125131,10.981720000000003
0.24971703370519968,13.772440000000003
0.2802562008169593,16.644640000000003
0.31567524382584966,19.50664
0.34430301421327925,22.25684
0.37043842467712174,25.30916
0.39555292646937373,28.124720000000007
0.4163950634247992,30.86595999999999
0.43825441069019,33.77324
0.45662045928244155,36.63364000000001
0.47621941124393047,39.4324
0.4934591078360755,42.285199999999996
0.5114901562831414,45.29432
0.5267227752101972,47.94344
0.5395336085366251,50.81659999999999
0.5544375366735222,53.67468000000001
0.5647510582694779,56.42956000000001
0.5775453107566563,59.44999999999999
0.5898539133218683,62.17816
0.6003499498981688,64.98088
0.6099706833887544,67.9396
0.6200163855690873,70.71072000000001
0.6303790610409191,73.50448000000002
0.640110068642455,76.39824000000002
0.6488599879195354,79.26924
0.6567787513535005,82.0448
0.6649844046394301,84.91232
0.6711836590849793,87.41184000000001
0.6817400479279351,91.58999999999997
