corr,nresp
0.09936332755999887,8.608820512820511
0.14178897337075053,11.44
0.17246464263621772,14.338256410256411
0.19732509646137555,17.332512820512825
0.22508787315319215,20.294769230769234
0.2571254207390192,23.163076923076925
0.27669646452097807,26.315282051282047
0.29255449150009954,29.245128205128204
0.3154718751887568,32.09476923076923
0.3397693882068972,35.117948717948714
0.3645316358537095,38.094153846153844
0.3822125510888739,40.981538461538456
0.3992441555371247,43.93784615384616
0.4138346062252312,47.07015384615384
0.4307866029391269,49.834461538461525
0.4456758005141084,52.820307692307686
0.455672575580734,55.78420512820513
0.47144866886607467,58.65948717948719
0.48832825648920997,61.78010256410256
0.5046046257812362,64.61702564102563
0.5138057372779808,67.53189743589742
0.5228237225665098,70.60307692307691
0.5313506812137304,73.49046153846156
0.5411966336902839,76.38810256410258
0.5507075171874828,79.39589743589745
0.5647181263171358,82.37825641025641
0.574992369489994,85.25907692307692
0.583705141919871,88.2539487179487
0.5895592548579396,90.8342564102564
0.6043766504372614,95.13846153846153
