corr,nresp
0.14667692969763377,8.450247933884297
0.188727101842618,11.227768595041326
0.2128855340742965,14.070909090909092
0.24569981179069134,17.015371900826448
0.2752371835495531,19.926446280991737
0.30821250843719583,22.73520661157025
0.33009427864284824,25.84727272727273
0.35379363150428694,28.706611570247933
0.3827672066403938,31.509752066115706
0.40820665575152576,34.475371900826445
0.43491443340031266,37.40859504132232
0.45688866924090094,40.25702479338844
0.47814769783420047,43.172066115702485
0.49553331895659997,46.22710743801653
0.5055098705899844,48.94611570247934
0.5260440611921173,51.87702479338843
0.5405864976188444,54.79966942148761
0.5528299231334262,57.60909090909091
0.5609552743953641,60.66925619834709
0.5710896647608813,63.46297520661158
0.5885263425108179,66.32859504132233
0.5929482532453801,69.34297520661157
0.6037262370154438,72.17834710743801
0.612124284109174,75.02280991735537
0.6248404293732457,77.98115702479339
0.6357194216085152,80.90363636363637
0.6452186625271342,83.73933884297522
0.6511101028728007,86.67504132231403
0.6543124635474054,89.22710743801653
0.664748917985429,93.46280991735539
